timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643302723323,784,Login-page,502,Bad Gateway,CDI-J&J 1-194,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,784,0,644
1643302721100,3040,Login-page,502,Bad Gateway,CDI-J&J 1-59,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,3040,0,2982
1643302723407,710,Login-page,502,Bad Gateway,CDI-J&J 1-282,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,710,0,615
1643302720711,3406,Login-page,502,Bad Gateway,CDI-J&J 1-20,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,3406,0,3323
1643302723357,750,Login-page,502,Bad Gateway,CDI-J&J 1-197,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,743,0,616
1643302723164,968,Login-page,502,Bad Gateway,CDI-J&J 1-230,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,968,0,897
1643302720851,3267,Login-page,502,Bad Gateway,CDI-J&J 1-34,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,3267,0,3194
1643302720960,3147,Login-page,502,Bad Gateway,CDI-J&J 1-45,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,3145,0,3008
1643302721860,2279,Login-page,502,Bad Gateway,CDI-J&J 1-135,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,2279,0,2222
1643302721810,2314,Login-page,502,Bad Gateway,CDI-J&J 1-130,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,2314,0,2242
1643302721060,3047,Login-page,502,Bad Gateway,CDI-J&J 1-55,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,3047,0,2973
1643302721542,2565,Login-page,502,Bad Gateway,CDI-J&J 1-103,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,2560,0,2431
1643302723631,486,Login-page,502,Bad Gateway,CDI-J&J 1-303,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,486,0,414
1643302723355,763,Login-page,502,Bad Gateway,CDI-J&J 1-200,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,763,0,689
1643302722229,1878,Login-page,502,Bad Gateway,CDI-J&J 1-172,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,1871,0,1738
1643302720792,3315,Login-page,502,Bad Gateway,CDI-J&J 1-28,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,3313,0,3242
1643302721710,2421,Login-page,502,Bad Gateway,CDI-J&J 1-120,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2421,0,2318
1643302722280,1827,Login-page,502,Bad Gateway,CDI-J&J 1-177,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,1820,0,1688
1643302720861,3257,Login-page,502,Bad Gateway,CDI-J&J 1-35,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,3257,0,3185
1643302721070,3070,Login-page,502,Bad Gateway,CDI-J&J 1-56,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,3070,0,3013
1643302723178,930,Login-page,502,Bad Gateway,CDI-J&J 1-234,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,924,0,795
1643302723087,1021,Login-page,502,Bad Gateway,CDI-J&J 1-240,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,1020,0,922
1643302723617,502,Login-page,502,Bad Gateway,CDI-J&J 1-307,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,502,0,429
1643302723369,738,Login-page,502,Bad Gateway,CDI-J&J 1-265,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,733,0,599
1643302720980,3138,Login-page,502,Bad Gateway,CDI-J&J 1-47,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,3138,0,3066
1643302722009,2124,Login-page,502,Bad Gateway,CDI-J&J 1-150,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,2124,0,2052
1643302723702,437,Login-page,502,Bad Gateway,CDI-J&J 1-319,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,437,0,379
1643302722859,1259,Login-page,502,Bad Gateway,CDI-J&J 1-228,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,1259,0,1187
1643302723178,961,Login-page,502,Bad Gateway,CDI-J&J 1-235,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,961,0,904
1643302723076,1048,Login-page,502,Bad Gateway,CDI-J&J 1-233,text,false,,300,132,360,360,https://staging.jnjonc2022.com/login,1048,0,977
1643302721020,3111,Login-page,502,Bad Gateway,CDI-J&J 1-51,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,3111,0,3042
1643302722846,1285,Login-page,502,Bad Gateway,CDI-J&J 1-191,text,false,,300,132,361,361,https://staging.jnjonc2022.com/login,1285,0,1216
1643302723433,707,Login-page,502,Bad Gateway,CDI-J&J 1-292,text,false,,300,132,362,362,https://staging.jnjonc2022.com/login,707,0,651
1643302721191,2916,Login-page,502,Bad Gateway,CDI-J&J 1-68,text,false,,300,132,359,359,https://staging.jnjonc2022.com/login,2914,0,2777
1643302720681,3540,Login-page,200,OK,CDI-J&J 1-4,text,true,,38937,132,375,375,https://staging.jnjonc2022.com/login,3447,0,3221
1643302723406,910,Login-page,200,OK,CDI-J&J 1-274,text,true,,38946,132,380,380,https://staging.jnjonc2022.com/login,735,0,495
1643302720871,3460,Login-page,200,OK,CDI-J&J 1-36,text,true,,38958,132,382,382,https://staging.jnjonc2022.com/login,3292,0,3031
1643302723424,908,Login-page,200,OK,CDI-J&J 1-270,text,true,,38937,132,382,382,https://staging.jnjonc2022.com/login,758,0,502
